,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
138,"MIDDLE CHILD","J. Cole",257637,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
139,"The Less I Know The Better","Tame Impala",256222,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
140,SAD!,XXXTENTACION,256112,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
141,"Dance Monkey","Tones And I",254514,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
142,"Narrow Road (feat. Lil Baby)","NLE Choppa",253984,https://open.spotify.com/track/0mCiEhtdRn5YYhefLXcxI7
143,"Godzilla (feat. Juice WRLD)",Eminem,253044,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
144,July,"Noah Cyrus",252436,https://open.spotify.com/track/6J2LdBN97cDWn0MLxYh9HB
145,Landslide,"Fleetwood Mac",252017,https://open.spotify.com/track/5ihS6UUlyQAfmp48eSkxuQ
146,"Relación - Remix",Sech,251894,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
147,"Daddy Issues","The Neighbourhood",251838,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
148,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",251737,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
149,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",251022,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
150,"lovely (with Khalid)","Billie Eilish",250879,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
151,"Stunnin' (feat. Harm Franklin)","Curtis Waters",249358,https://open.spotify.com/track/2JSmxLqt8h7ZpJJkfuLJvK
152,"3 Headed Goat (feat. Lil Baby & Polo G)","Lil Durk",249141,https://open.spotify.com/track/2h4cmbyb6S7e8igDZIITJU
153,"Cover Me Up","Morgan Wallen",248514,https://open.spotify.com/track/7Jd0VVrzeTTWipxSzJ81aC
154,"Stuck with U (with Justin Bieber)","Ariana Grande",248138,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
155,cardigan,"Taylor Swift",248079,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd
156,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",247829,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
157,Bang!,AJR,247047,https://open.spotify.com/track/53BHUFdQphHiZUUG3nx9zn
158,"my future","Billie Eilish",246938,https://open.spotify.com/track/2ygvZOXrIeVL4xZmAWJT2C
159,"Chicago Freestyle (feat. Giveon)",Drake,246302,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
160,"The Bigger Picture","Lil Baby",246205,https://open.spotify.com/track/3HNWVQHXpW70ubsDhvnegu
161,PTSD,"G Herbo",245977,https://open.spotify.com/track/3jT2LKH0RSbQ8jIUNFzXm5
162,"Said Sum","Moneybagg Yo",244274,https://open.spotify.com/track/3sKz6Sd72K0ofPWcJPPk6H
163,JEWELZ,"Anderson .Paak",243433,https://open.spotify.com/track/2IFFKj9orAsQOOS0JRhHAW
164,"I Fall Apart","Post Malone",241243,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
165,"rockstar (feat. 21 Savage)","Post Malone",241039,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
166,"Your Man",Joji,239895,https://open.spotify.com/track/6Vgtvd7I5yopJdBuxqjBd2
167,"How You Like That",BLACKPINK,239851,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
168,Excitement,"Trippie Redd",239624,https://open.spotify.com/track/3WnTQDd9A3bpBfzCziElU9
169,"the 1","Taylor Swift",237661,https://open.spotify.com/track/0Jlcvv8IykzHaSmj49uNW8
